indice_tiempo,ica_importaciones_brasil,ica_importaciones_paraguay,ica_importaciones_uruguay,ica_importaciones_venezuela,ica_importaciones_total_mercosur,ica_importaciones_bolivia,ica_importaciones_chile,ica_importaciones_colombia,ica_importaciones_aladi,ica_importaciones_canada,ica_importaciones_estados_unidos,ica_importaciones_mexico,ica_importaciones_peru,ica_importaciones_alianza_pacifico,ica_importaciones_ecuador,ica_importaciones_resto_al,ica_importaciones_total_resto_al,ica_importaciones_total_nafta,ica_importaciones_espana,ica_importaciones_francia,ica_importaciones_italia,ica_importaciones_paises_bajos,ica_importaciones_polonia,ica_importaciones_portugal,ica_importaciones_reino_unido,ica_importaciones_resto_ue_28,ica_importaciones_total_ue_28,ica_importaciones_alemania,ica_importaciones_austria,ica_importaciones_belgica,ica_importaciones_asean,ica_importaciones_medio_oriente,ica_importaciones_china,ica_importaciones_japon,ica_importaciones_tailandia,ica_importaciones_taiwan,ica_importaciones_vietnam,ica_importaciones_resto_pacifico,ica_importaciones_corea,ica_importaciones_indonesia,ica_importaciones_india,ica_importaciones_suiza,ica_importaciones_rusia,ica_importaciones_sudafrica,ica_importaciones_australia,ica_importaciones_nueva_zelanda,ica_importaciones_angola,ica_importaciones_argelia,ica_importaciones_egipto,ica_importaciones_marruecos,ica_importaciones_resto_africa,ica_importaciones_total_africa,ica_importaciones_israel,ica_importaciones_resto_mundo,ica_importaciones_totales,ica_participacion_import_mercado_comun_centroamericano,ica_participacion_importaciones_can_total
2000-01-01,6478.445454,294.757719,426.080391,28.837495,7228.121059,20.033861,608.114976,54.8144,8688.226289,307.084135,4769.351266,583.275672,28.591651,1274.796699,131.644635,75.101042,8729.697296,5659.703573,903.560475,993.271018,1013.50598,207.325696,30.243884,42.64139,773.479431,5972.241351,449.222567,1261.827184,81.149084,216.014642,574.804669,154.555856,1221.78799,1006.069697,134.47699,278.78863,11.38952,312.991771,533.149523,112.61138,145.141942,227.837825,113.02517,85.14228,71.213453,16.179948,15.365512,39.30664,10.69394,4.023932,288.401069,442.933373,107.13796,767.375994,25280.485214,6.383377,235.084547
2001-01-01,5277.762482,302.803523,328.973923,25.441469,5934.981397,20.57456,505.723509,49.883805,7116.636962,201.525504,3736.946599,437.388949,21.335601,1014.331864,116.74371,65.608481,7152.240012,4375.860007,712.357749,734.78807,838.667683,151.782461,28.151792,41.795148,521.328993,4738.017185,407.492276,1051.947718,81.374444,168.330851,499.502466,134.547399,1112.506305,767.255902,128.44187,230.404828,9.609077,254.426766,409.519149,105.123688,150.734944,186.952361,108.95688,123.492626,58.609295,19.213386,0.0,2.548324,7.778046,6.563396,130.70612,271.088512,75.568575,602.438347,20319.579185,7.937069,208.537676
2002-01-01,2518.268164,255.397065,122.450019,7.316308,2903.431568,15.93744,176.629274,16.380935,3331.219339,65.197986,1788.539389,157.83689,14.017821,364.864922,23.338734,46.818544,3354.3912,2011.573631,311.157342,261.831945,310.870301,75.076801,12.118871,29.625686,242.640679,2110.555488,195.222445,553.554282,36.326865,82.13028,142.644718,44.383211,342.1364,314.049201,26.850183,59.875785,2.546448,78.47492,69.59548,33.837703,88.398239,119.948741,4.632741,32.88786,49.342327,6.899913,0.0,0.457094,1.877329,11.075226,41.418257,87.715766,25.844192,360.889871,8989.72192,2.582591,69.67493
2003-01-01,4707.611872,294.711594,164.227314,8.920628,5175.471392,22.988658,289.835348,19.775424,5825.934783,87.862042,2238.333747,238.349682,17.077767,565.038224,39.590316,70.550882,5873.639488,2564.382523,392.208939,319.33642,442.857723,115.308912,27.734729,35.267903,341.036081,2822.120144,215.430758,768.596833,57.140181,107.201669,267.902382,51.440868,742.36629,395.845698,55.058465,130.558498,6.08541,137.392286,212.319161,68.215549,136.154845,182.162542,105.693263,53.549276,62.937423,6.819181,5e-05,0.098902,6.939052,3.187842,58.342726,122.117847,38.641306,426.450949,13850.77408,6.189362,99.432165
2004-01-01,7602.719906,380.497017,227.160318,34.476913,8244.854048,138.67028,404.455661,46.800687,9703.779953,129.563772,3389.491004,757.946382,33.292334,1242.495072,54.526147,111.889264,9792.434816,4276.055599,516.977798,584.539352,623.40399,177.85587,42.531268,49.650038,643.719585,4271.518656,311.502984,1093.131221,88.180128,140.026411,470.330518,79.640209,1429.761558,612.349356,130.069742,186.591836,11.608469,216.677267,307.674065,107.412499,161.072323,248.025315,126.108113,90.727781,73.094202,12.225715,0.000107,0.282319,18.142816,4.925768,66.741261,180.820051,57.999358,1000.783195,22445.28128,17.373679,273.289448
2005-01-01,10293.2103125526,453.21675291651,273.56635013068,32.34543211221,11052.338752,269.24880320675,548.98563542356,53.45514203878,12852.113128,160.10582641022,4005.89643829764,793.22689369476,44.70855146999,1440.376224,60.22121783213,144.93680581274,12967.121856,4951.008357,571.20396633987,583.3264284673,747.76070372626,184.13137480556,54.24279821847,53.11735058097,785.68783346787,4873.094624,319.37384203772,1302.88254455794,103.05762050213,168.31012190391,807.147087,87.359329,2270.24069070166,788.79415158841,320.79410197257,226.2671294287,22.41923504409,311.92971392441,411.71688894779,144.38248724773,261.95794181705,256.33979706289,178.94423351651,108.94161839108,136.27057748136,13.79849540755,4.637e-05,0.65188006939,3.94103177041,19.59373764048,34.37883712309,167.5071515,79.93763490064,1089.37054585711,28686.889216,22.939178,427.633754
2006-01-01,11871.4440913519,505.18270732491,309.44170845585,24.80720165843,12710.875648,322.61285861764,599.47012809588,55.95408307877,14946.827477,185.22413402854,4248.93037358195,1110.92711984472,51.73598269388,1818.087304,71.50385235418,106.7841789359,15029.863744,5543.041344,613.15007666314,907.87218501968,907.99742789107,213.61965221952,85.54944095332,65.47224193857,784.10419653887,5855.704032,386.39585400146,1544.88103660161,118.69574180265,227.96622286383,1051.826522,115.989714,3152.55088028441,932.83719255548,402.77101484056,278.87393092094,44.67950907854,408.98981204392,439.30001118632,185.33485197914,303.24467380364,259.84165632311,233.68425652887,118.57783610904,138.21237221855,11.71681239844,0.01454721023,15.82687622797,15.62706249583,63.41029177211,24.51729052928,237.973906,94.88025560389,1709.06885984122,34153.682176,22.912828,501.80678
2007-01-01,14660.2660730397,1056.41961469894,467.79359375642,23.59594830587,16208.075136,220.91707403963,708.48476455268,91.01826273617,18833.77150386,292.67484845058,5273.55668282554,1336.57850640903,116.0195130641,2252.101024,110.00715549162,205.96687560416,18997.067392,6893.23102294,812.64681992993,1059.44256786866,1071.38330015058,242.10532095615,107.30811148456,86.1521257426,1096.08310322182,7449.071712,445.35904049188,2131.3259075276,151.04763845262,246.21772848173,1233.76743832,215.24647352,5127.19715026843,1200.11615793816,456.26501503959,330.42393980485,51.73139831851,501.38771076669,525.89005247013,214.16541766785,383.71571741711,287.08584444575,358.73404028546,131.2523254205,161.85284216917,14.68591119985,0.00322934,19.20945673964,39.0611996794,55.75179316908,25.95109907958,271.229104,125.38818791516,2685.22432720029,44707.463424,23.74818413,537.96200122
2008-01-01,17976.7594647355,1782.95613035846,540.14580624552,25.19411591716,20325.055616,148.82735390913,951.76872770812,154.04585934557,23467.74542267,317.25318584248,6937.64238019188,1595.33082037248,120.51396050329,2821.65936,138.57875786502,427.88422835349,23862.005248,8806.88593845,1054.00936580555,1481.93908748866,1204.6404530748,261.33263356786,130.95959742486,80.41468212119,1260.91411630752,9048.788096,544.72085138648,2533.5924678916,192.08128849139,304.18352180349,1445.03636307,198.36615475,7143.23277966351,1378.13180650465,484.1716072658,402.9023989869,96.47275128822,612.89858508177,731.67607912722,239.07959473779,491.84665520289,330.26419962522,704.25995471971,220.30484066556,284.01809495409,16.09092542556,0.00945647004,0.33720498154,125.61831810829,86.70375054885,66.70165585616,499.67523,152.07431518744,3732.69598974052,57465.180416,23.66472763,561.96593166
2009-01-01,12063.7423017409,698.9555605627,361.35012666998,15.49818642031,13139.546176,212.68890015057,664.98513845322,108.78590954875,15533.28820772,254.12716434167,5124.50747629919,1163.81969029854,68.20181566023,2005.792552,137.40543768177,372.56774796101,15868.000832,6529.55814723,788.04171416216,810.30583627882,849.59947520054,235.10664243505,65.5538915679,66.51171657231,876.99481683915,6402.899072,375.64974505467,1993.91762334607,139.02307495984,202.19461227815,1131.55370334,102.6136703,4843.25844754686,909.01668283561,411.19395320028,291.10349431742,76.11450143457,457.41691566316,615.98236713955,178.98539201567,368.03308400916,400.14506336547,5.63490986667,100.74306201948,183.30956710436,14.03683023352,0.0,0.08945009933,53.24351727101,58.78554251335,18.01997159404,230.8815455,85.88773627423,2065.73424594331,38786.268928,32.49744622,527.08206124
2010-01-01,18235.2768051008,436.80115457173,607.786151742,21.49208938373,19301.356096,350.4674489318,885.04807668895,149.97563709965,22829.65448366,408.84500019533,6057.41187746294,1817.10742592295,120.9200657422,2973.0512,163.41322468056,668.47084041132,23456.758912,8283.36429573,1024.25022318999,1528.46987789907,1296.61489051259,395.76146662849,123.67788696787,95.27118341936,1130.36851647446,9763.621568,486.84295884937,3215.18629551978,173.19012521802,293.98812664823,1634.43951928,302.54654456,7677.85155098344,1191.26030124489,640.0453329998,444.58340387556,111.2692736145,559.31569754688,967.90487200998,316.18795622404,566.9043669512,484.28826546333,37.50154871185,141.19492436362,325.16221367535,13.40767643928,0.00408119993,0.07819591068,33.08949698533,105.69782764797,56.03471857817,336.099244,127.39603919271,3306.76299118826,56792.578304,40.16407639,784.77637748
2011-01-01,22327.2447239945,515.02565511948,633.45787801729,23.69270994267,23499.4208,629.20399422686,1092.80036580063,241.56334629353,28416.60862035,626.5543682643,7731.17143996513,2533.1667394988,163.21152722409,4030.742016,209.75108327473,1498.39005497437,29867.507072,10890.89254943,1395.64931986142,1519.68931130162,1481.85664478389,439.80177591319,149.51107111154,87.51968495602,1517.80093669994,11511.858048,664.16875354801,3645.59964725032,191.19356373687,419.06732267439,1965.49246586,603.02303694,10611.3732831493,1414.64365343813,695.91636997277,539.09480432497,190.11578430235,696.1796432881,1144.58364081165,372.59932590166,631.15324624987,543.03350847837,724.65062862765,204.92928663547,409.55600514987,15.78907263815,0.01845776979,3.52088697918,74.04334169628,143.38473587021,228.63397098218,654.530682,178.23928877894,5402.12483444464,73960.674304,63.82378802,1243.72995318
2012-01-01,17804.6348238591,450.63171760893,546.39098323083,24.92986870913,18826.587136,1297.33088357885,1005.8045158676,355.24678593355,24190.41507493,510.61067309754,8374.35682673338,2250.81480190379,161.02396350399,3772.890064,235.95619964941,2135.74939716223,26268.513792,11135.78227845,1317.20478507656,1590.17942397701,1452.3817640388,1284.46469223584,173.23721866447,93.04291748628,1423.38446267088,12380.424192,614.8331828459,3698.22928086363,298.06931066554,435.39706506172,2063.25425072,730.78164643,9931.82590650477,1498.45201353552,861.45681133031,506.91590355915,155.51147209237,695.02444552224,1137.22566482608,343.71395065461,652.78242441978,551.89591937383,12.12138143849,238.11618160275,281.88804289266,21.33420996577,0.00648234011,0.00517017007,49.68630356387,111.50701932109,83.95986881059,483.281031,131.78257856131,3175.09784408,67974.215168,56.18110133,2049.55784469
2013-01-01,19321.7671441136,530.82158124086,545.67336784697,51.60092343366,20449.86304,2844.47114399203,970.45594202537,435.39531452986,27316.41299508,489.64099688542,8014.84412549246,2161.32968707222,133.23237456556,3700.413392,274.0202929873,2057.33078786435,29326.098432,10659.34507766,1371.24175965732,1738.4902097008,1665.75436861175,1080.02666672742,222.21125784585,228.29401174568,1425.10634223094,13202.345472,582.69799504518,3892.12750170577,229.43618094504,766.95918266121,2268.01058348,1291.1138432,11341.1208218882,1520.91101213758,945.9465268337,544.39921285687,199.73417126819,733.58436376995,1239.8225321058,380.52180911381,776.688731778,510.49848139797,1614.41654038098,242.53384690041,206.05744655222,16.33275580809,0.01301696008,0.01049004997,116.54317405335,44.78801786588,313.75629643218,717.64484,148.54800477002,2512.64479988043,74441.800704,66.71729757,3687.11915896
2014-01-01,14473.8386492864,498.61895981327,497.85022757464,9.67408971908,15479.981952,2544.77955296974,823.52881021918,232.72873101234,21164.31967407,556.79129214934,9048.50396603695,1647.28719449751,128.7349273226,2832.27968,261.12523337391,2015.47234978272,23133.638784,11252.58243756,1078.0274096146,1422.02768193288,1637.11535684994,788.61868349361,196.25133575341,105.41689985565,1433.55183031749,11356.0976,543.32090343446,3532.72992154255,200.33033879488,418.70721380225,2017.06492422,1058.70713337,10810.9535058745,1376.05459354316,816.05845198217,470.57125201575,196.98261841947,697.76861103548,917.41716295519,300.30848187699,698.54339427693,532.18260670153,106.35450950166,222.78307035664,159.15389799954,21.46259345522,0.00900592017,55.52848059001,9.71002199385,50.1832619714,630.00441096716,968.21825,115.2924947256,3453.71487271825,65736.068608,61.14058593,3167.36843217
2015-01-01,13137.7039566339,421.77951108658,464.34901677967,6.55527587208,14030.387968,1467.9368466941,717.95583181013,231.79986856065,18728.75624635,462.81877918288,7885.61588175054,1827.67130479191,128.09174727068,2905.518752,272.09943185114,1123.92761075741,19799.870592,10176.10596548,959.54824841586,1451.86296858404,1375.49827905738,460.97330459681,183.14802135699,174.56967152089,1320.51698524364,10069.776512,559.9502606816,3128.70630849171,167.65424263428,287.34817794009,2031.89673429,537.20272324,11860.8113559545,1221.94831648693,816.3021344625,485.5779701163,333.87912383461,558.13945466613,1105.8907826803,316.04655489022,725.60668267613,689.52409884769,65.26233252643,179.08936090784,269.30483631287,21.44964287269,0.02802788,0.02151386914,6.57954553422,33.74383567304,977.90809146511,1197.370376,121.63543947108,2196.20488209116,60203.036416,45.4556153,2099.92791174
2016-01-01,13682.39951,712.38201,501.09488,67.94871,14963.82532,946.50995,651.86956,201.00978,18995.49491,345.35679,6950.77945,1785.33884,124.88638,2763.1046,274.84902,380.24867,19328.5377,9081.47508,920.99187,1552.2465,1436.0141,432.94124,147.01105,75.98124,1430.02164,10000.88312,471.49955,3053.67059,168.02989,312.4755,2335.75384,781.4117,10488.53538,953.45093,1132.25139,411.46234,350.26872,566.23952,886.92694,276.01884,700.30051,515.7682,393.79115,183.00712,159.67921,21.7837,10.98045,49.46909,8.19865,107.40832,444.80035,803.86396,117.80256,1550.36794,55954.06835,31.11771,1547.25516
2017-01-01,17988.269,1105.08768,529.12137,15.61267,19638.09092,1354.53328,833.808,232.98806,24659.27652,660.18822,7586.68389,2081.32037,158.94727,3307.06368,323.42623,260.65845,24883.77295,10328.18984,1451.84281,1344.42428,1674.80082,491.66236,261.98587,119.12124,1894.0025,11527.29521,497.94289,3228.99914,200.59493,361.91833,2819.24937,798.33177,12327.64096,1056.65554,1258.90029,443.60508,621.55878,586.35283,836.24875,345.80021,823.70833,578.25257,340.98447,194.28786,278.66968,17.13923,6.76308,17.06031,35.23093,133.76765,670.43785,1057.54773,144.18719,1554.80828,66930.0,31.92845,2069.89486
2018-01-01,15693.91866,2175.39578,492.52399,8.47877,18370.31712,1476.19037,704.25619,290.94676,23262.20798,386.54493,7658.26335,1877.03978,188.96276,3061.20545,319.18794,233.03836,23459.93908,9921.84511,1430.77974,1109.44203,1558.09155,530.83199,250.6687,155.84416,1791.79502,10692.17432,569.3035,3349.80025,199.14302,315.77782,2866.2873,1146.90112,12085.56729,1082.41074,1328.34502,411.4225,636.53843,548.00808,643.0561,345.27727,888.25305,579.68337,521.98104,218.33097,364.56869,15.96397,0.00019,86.99938,83.89716,175.77871,368.08072,933.08712,177.16668,2154.4454,65482.0,25.03194,2275.28782
2019-01-01,10159.33077,1646.7575,435.86344,0.91656,12242.8684,1379.98748,536.59317,220.59252,15921.22302,334.60604,6217.04459,1125.2329,128.12739,2010.54596,241.57692,256.14146,16131.1201,7676.88352,977.23061,884.91371,1125.97385,446.92593,225.92837,73.609,1422.14041,8364.14419,583.18895,2765.87261,201.02471,240.52498,2684.73984,532.89677,9266.84714,895.21383,1184.46695,283.92066,658.496,543.75002,502.29094,292.32764,809.03059,404.10006,240.66021,137.60449,247.03922,12.84542,0.00179,63.50821,129.06494,200.70791,69.19817,600.08553,134.9339,2001.07697,49124.0,17.83532,1970.28428
2020-01-01,8685.28469,2217.872,374.79089999999997,6.076262140599999,11284.23784,1034.1435599999998,539.48478,208.95306000000002,14437.57115,293.83633000000003,4365.92183,945.64053,117.51895999999999,1811.59734,272.37517,158.82705,14561.18116,5605.39858,705.56716,781.5137299999999,1006.82971,322.5276799999999,143.06632000000002,78.51536999999999,1161.13306,6590.43912,420.72649,1987.98336,139.73638,263.56629,2489.1993600000005,482.32403,8663.62683,723.67993,999.29751,324.51018000000005,754.4945400000001,498.6900100000001,365.47695,232.78195,800.9972899999999,419.53243,166.17934,123.63658999999998,142.07049,11.626705880900001,9.000000000000001e-10,67.6866307268,205.160043245,245.29879999999997,36.987545008299996,684.6676500000001,130.76022,1624.2294441191011,42354.0,19.932268015600002,1632.9907799999996
